Cmd_Group,Parameter,R/W,Num_param, Description
AP,GET_VERSION,READ,1,"""CONTROL: get version"""
AP,GET_STATUS,READ,1,"""CONTROL: get status"""
AP,GET_DELAY_SAMPLES,READ,1,"""CONTROL: get configurable delay in samples"""
AP,GET_BLD_MSG,READ,BLD_MSG_LEN,"""CONTROL: get build message"""
AP,GET_BLD_HOST,READ,BLD_HOST_LEN,"""CONTROL: get build host"""
AP,GET_BLD_REPO_HASH,READ,BLD_REPO_HASH_LEN,"""CONTROL: get repo hash"""
AP,GET_BLD_XGIT_VIEW,READ,BLD_XGIT_VIEW_LEN,"""CONTROL: get xgit view"""
AP,GET_BLD_XGIT_HASH,READ,BLD_XGIT_HASH_LEN,"""CONTROL: get xgit hash"""
AP,GET_BLD_MODIFIED,READ,BLD_MODIFIED_LEN,"""CONTROL: get build modified from given view/hash"""
GPIO,GET_I2C,READ,I2C_MAX_CMD_SIZE,"""GPIO: Read from an I2C device connected to the xvf device"""
GPIO,GET_I2C_WITH_REG,READ,I2C_MAX_CMD_SIZE,"""GPIO: Read from the register of an I2C device connected to the xvf device"""
GPIO,GET_I2C_READ_HEADER,READ,3,"""GPIO: Get the address, register address, and count of next I2C read"""
GPIO,SET_I2C,WRITE,I2C_MAX_CMD_SIZE,"""GPIO: Write to an I2C device connected to the xvf device"""
GPIO,SET_I2C_WITH_REG,WRITE,I2C_MAX_CMD_SIZE,"""GPIO: Write to the register of an I2C device connected to the xvf device"""
GPIO,SET_I2C_READ_HEADER,WRITE,3,"""GPIO: Set address, register address, and count of next I2C read"""
GPIO,GET_SPI,READ,SPI_READ_BUF_SIZE,"""GPIO: Gets the contents of the SPI read buffer"""
GPIO,GET_SPI_READ_HEADER,READ,2,"""GPIO: Get the address and count of next SPI read"""
GPIO,SET_SPI_PUSH,WRITE,SPI_MAX_CMD_SIZE,"""GPIO: Push SPI command data onto the execution queue"""
GPIO,SET_SPI_PUSH_AND_EXEC,WRITE,SPI_MAX_CMD_SIZE,"""GPIO: Push SPI command data and execute the command from the stack"""
GPIO,SET_SPI_READ_HEADER,WRITE,2,"""GPIO: Set address and count of next SPI read"""
GPIO,GET_GPI_PORT,READ,1,"""GPIO: Read current state of the selected GPIO port"""
GPIO,GET_GPI_PIN,READ,1,"""GPIO: Read current state of the selected GPIO pin"""
GPIO,GET_GPI_INT_PENDING_PIN,READ,1,"""GPIO: Read whether interrupt was triggered for selected pin"""
